All,Todos
None,Nenhum
"Allowed Scopes","Âmbitos permitidos"
"You need more permissions to delete this item(s): %1.","Necessita de mais permissões para remover este(s) item(ns): %1."
"You need more permissions to apply some of the rule updates.","Precisa de mais permissões para aplicar algumas das atualizações de regras."
"Please assign this entity to a store view.","Por favor, atribua esta entidade a uma vista de loja."
"You can create orders only in an active store.","Só pode criar encomendas numa loja ativa."
"Please assign this item to a store view.","Por favor, atribua este item para uma vista de loja."
"You need more permissions to save this item.","Você precisa de ter mais permissões para gravar este registo."
"You need more permissions to delete this item.","Você precisa de ter mais permissões para eliminar este registo."
"You need more permissions to view this item.","Você precisa de ter mais permissões para visualizar este registo."
"Please specify at least one website or one store group.","Por favor, especifique pelo menos um site ou loja de um grupo."
"You need more permissions to set All Scopes to a Role.","Você precisa mais permissões para definir todos os âmbitos para um papel."
"Incorrect website ID: %1","O ID do website está incorrecto: %1"
"You need more permissions to access website ""%1"".","Precisa de mais permissões para aceder ao website ""%1""."
"Incorrect store ID: %1","ID da loja errado: %1"
"You need more permissions to save this setting.","Precisa de mais permissões para gravar esta configuração."
"Role Scopes","Escopos da Função"
Custom,Personalizado
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view",PT
"Orders can only be completed in an active store. Verify the store and try again.","Apenas poderá concluir encomendas numa loja ativa. Verifique se a loja está ativa e tente novamente."
"More permissions are needed to save this setting.","Necessita de mais permissões poder salvar esta configuração."
"Read Details","Ver Detalhes"
"Mark as Read","Marcar como Lido"
"Are you sure?","Tem a certeza?"
Remove,Eliminar
"Messages Inbox","Caixa de entrada de mensagens"
"You have %1 new system messages","Você tem %1 novas mensagens de sistema"
"You have %1 new system message","Você tem %1 nova(s) mensagem(ns) de sistema"
"Incoming Message","Nova mensagem"
close,fechar
Notifications,Notificações
"The message has been marked as Read.","A mensagem foi marcada como lida."
"We couldn't mark the notification as Read because of an error.","Não foi possível marcar a notificação como Lida porque ocorreu um erro."
"Please select messages.","Por favor, seleccione as mensagens."
"A total of %1 record(s) have been marked as Read.","Foram marcados como lidos um total de %1 registo(s)."
"Total of %1 record(s) have been removed.","Um total de %1 registos foram eliminados."
"We couldn't remove the messages because of an error.","Não foi possível eliminar as mensagens porque ocorreu um erro."
"The message has been removed.","A mensagem foi removida."
"1 Hour","1 hora"
"2 Hours","2 horas"
"6 Hours","6 horas"
"12 Hours","12 horas"
"24 Hours","24 horas"
critical,crítico
major,alto
minor,baixo
notice,aviso
"Wrong message type","Tipo de mensagem errada"
"Wrong notification ID specified.","ID de notificação errado."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","O URL {{base_url}} não é recomendado em ambiente de produção para declarar o URL Base Inseguro / URL Base Seguro. É altamente recomendado alterar este valor na <a href=""%1"">configuration</a> Magento."
"One or more of the Cache Types are invalidated: %1. ","Um ou mais tipos de cache estão invalidados: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Por favor, vá a <a href=""%1"">Gestão de Cache</a> e atualize os tipos de cache."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Fomos incapazes de sincronizar um ou mais ficheiros de média. Consulte o ficheiro de log para obter detalhes."
"Synchronization of media storages has been completed.","A sincronização dos repositórios de média foi concluída."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","O seu servidor está configurado incorretamente e permite o acesso não autorizado a ficheiros confidenciais. Por favor contacte o seu fornecedor de alojamento."
"System Messages:","Mensagens do sistema:"
"Critical System Messages","Mensagens Críticas do Sistema"
"Major System Messages","Mensagens Importantes do Sistema"
"System messages","Mensagens do sistema"
Close,Fechar
"See All (","Ver tudo ("
" unread)"," não lidas)"
"Show Toolbar","Mostrar Barra de Ferramentas"
"Show List","Mostrar Lista"
"Use HTTPS to Get Feed","Use HTTPS para obter o Feed"
"Update Frequency","Frequência de Atualização"
"Last Update","Última Atualização"
Severity,Gravidade
"Date Added","Data de Adição"
Message,Mensagem
Actions,Ações
"Close popup","Fechar pop-up"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Você visualizou e resolveu todos os avisos recentes do sistema. Atualize a página da web para limpar o alerta de aviso."
"Manage Shopping Cart","Gerir carrinho de compras"
"Create Order","Criar a encomenda"
Back,Voltar
"Add Products","Adicionar produtos"
"Update Items and Quantities","Atualizar Artigos e Quantidades"
"Are you sure you want to clear your cart?","Tem certeza que pretende esvaziar o seu carrinho de compras?"
"Clear my shopping cart","Esvaziar o meu carrinho de compras"
"Add selections to my cart","Adicionar produtos selecionados ao carrinho"
Cancel,Cancelar
"Shopping Cart for %1 in %2","Carrinho de compras para %1 em %2"
"Select products you want to buy","Selecione os produtos que pretende comprar"
Product,Produto
Price,Preço
Quantity,Quantidade
"Products in the Comparison List (%1)","Produtos na lista de comparação (%1)"
"Last ordered items (%1)","Últimos artigos encomendados (%1)"
Products,Produtos
ID,Id.
SKU,REF
"Recently Compared Products (%1)","Produtos comparados recentemente (%1)"
"Recently Viewed Products (%1)","Produtos visualizados recentemente (%1)"
"Add to Shopping Cart by SKU","Adicionar ao carrinho por SKU"
"Add to Shopping Cart","Adicionar ao carrinho de compras"
"Wish List (%1)","Lista de favoritos (%1)"
Apply,Aplicar
Configure,Configurar
"Add to Order by SKU","Adicionar à Encomenda por SKU"
"Add to Order","Adicionar à Encomenda"
"Add Products to Order","Adicionar produtos à Encomenda"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> produto(s) requer(em) atenção.</span>"
"Remove All","Remover todos"
"Only %1%2%3 left in stock","Só %1%2%3 existem em stock"
"You can buy up to %1 of these per purchase.","Por compra, pode encomendar até %1 unidades deste produto."
"You must buy at least %1 of these per purchase.","Por compra, tem que comprar pelo menos %1 unidades deste produto."
"Specify the product's options.","Especifique as opções do produto."
"Alert me when this item is available.","Notifiquem-me quando este produto estiver disponível."
"We can't find this customer.","Cliente não encontrado."
"Shopping cart management is disabled for this customer.","Gestão de carrinho de compras está desativado para este cliente."
"We can't find this store.","Não conseguimos encontrar esta loja."
Customers,Clientes
"Shopping Cart","Carrinho de compras"
"Sorry, something went wrong. You can find out more in the error log.","Ocorreu um erro. Mais informação disponível no arquivo de erros."
"You do not have access to this.","Você não tem acesso."
"Ordered item id is not received.","Id do item encomendado não recebido."
"Ordered item is not loaded.","O item encomendado não está carregado."
"Quote item id is not received.","O id do item do orçamento não foi recebido."
"Quote item is not loaded.","O item do orçamento não está carregado."
"The wish list item id is not received.","A id do item de lista de desejos não foi recebido."
"The wish list item is not loaded.","O item da lista de desejos não está carregado."
"An error has occurred. See error log for details.","Ocorreu um erro. Consulte o log de erros para obter detalhes."
"You cannot configure a product.","Você não pode configurar um produto."
"You removed the items.","Você removeu os itens."
"You removed the item.","Você removeu o item."
"You added %1 to your shopping cart.","%1 foi adicionado ao carrinho de compras."
"You cannot add a product.","Você não pode adicionar um produto."
"Order by SKU","Ordenar por SKU"
"The SKU was not found in the catalog.","O SKU não foi encontrado no catálogo."
"Availability: Out of stock.","Disponibilidade: sem stock."
"We don't have as many of these as you want.","Não temos tantas unidades deste artigo quantas pretende."
"You can't add this many to your cart.","Não é possível adicionar essa quantidade ao seu carrinho."
"You need to choose options for your item.","Precisa de escolher opções para o seu artigo."
"We can't add the item to your cart.","Nós não podemos adicionar o item ao seu carrinho."
"Please enter an actual number in the ""Qty"" field.","Por favor, digite um número real no campo ""Qtde""."
"This product is assigned to another website.","Este produto é atribuído a outro site."
"You can add only enabled products.","Você pode adicionar somente produtos habilitados."
"You cannot upload this file.","Você não pode carregar este arquivo."
"The file is empty.","O ficheiro está vazio."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Você não inseriu um SKU do produto. Por favor <a href=""%1""> clique aqui</a> para adicionar produto (s) por SKU."
"You have not entered a product SKU.","Você não inseriu um SKU do produto."
"We can't add a product to cart by id ""%1"".","Nós não podemos adicionar um produto ao carrinho por id ""%1""."
"Something went wrong while reordering this product.","Algo correu mal ao re-encomendar este produto."
"We can't find this wish list.","Lista de favoritos não encontrada."
"You added %1 product to your shopping cart.","Você adicionou o artigo %1 ao carrinho de compras."
"You added %1 products to your shopping cart.","Adicionou %1 artigos ao carrinho de compras."
"%1 product requires your attention.","O produto %1 requer a sua atenção."
"%1 products require your attention.","%1 produtos requerem a sua atenção."
"Yes, for Specified Customer Groups","Sim, para Grupos de Cliente Especificados"
"Yes, for Everyone","Sim, para Tudo"
No,Não
"The file is corrupt.","O ficheiro está corrompido."
"Please upload the file in .csv format.","Por favor carregue o ficheiro em formato CSV."
"%1 item(s) need your attention.","%1 Item(ns) precisa(m) da sua atenção."
"Apply Coupon Code","Aplicar código de desconto"
"Remove Coupon Code","Remover código de desconto"
"The coupon code ""%1"" is not valid.","O código de desconto ""%1"" não é válido."
"Shopping Cart Items","Itens do carrinho de compras"
Qty,Qtd
Discount,Desconto
"Row Subtotal","Subtotal da Linha"
Action,Ação
"No ordered items","Não há itens ordenados"
"Total %1 product(s)","Total de %1 produto(s)"
"Please select","Por favor selecione"
"Move to Wish List","Mover para lista de desejo"
"No item specified.","Não item especificado."
"Are you sure you want to remove this item?","Tem a certeza que pretende remover este item?"
"SKU number","Número SKU"
"Upload File","Carregar ficheiro"
"Your csv file must include ""sku"" and ""qty"" columns.","O seu ficheiro csv deve incluir colunas ""sku"" e ""qty""."
Reset,Repor
"SKU: ","REF: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Só existem <span id=""%1_max_allowed"">%2</span> unidades em stock"
Item,Artigo
"See price before order confirmation.","Consulte o preço antes da confirmar a encomenda."
"What's this?","O que é isto?"
"Incl. Tax","Imposto incl."
"Excl. Tax","Excluindo impostos"
"Edit item parameters","Editar os parâmetros do item"
Edit,Editar
"Remove item","Remover item"
"Products Requiring Attention","Produtos que requerem atenção"
"Add to Cart","Adicionar ao carrinho"
Sku,Ref
File,Ficheiro
"File extensions allowed: .csv","Extensões de arquivos permitidas: .csv"
"Add Row","Adicionar linha"
"Remove Row","Remover linha"
"Add Products By SKU","Adicionar Produtos por SKU"
"Shopping Cart Management","Gestão do Carrinho de Compras"
"View Shopping Cart","Ver Carrinho de Compras"
"View and modify Shopping Cart","Ver e modificar Carrinho de Compras"
"Order by SKU Settings","Definições de Encomendar por SKU"
"Enable Order by SKU on My Account in Storefront","Ativar a Encomendar por SKU na secção A Minha Conta na loja"
"Customer Groups","Grupos de Clientes"
"Apply Coupon","Usar Cupão"
"Order by SKU Description","Descrição de Encomendar por SKU"
"Display a Link to Loading a Spreadsheet","Exibir um Link para carregar uma folha de cálculo"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Define se um link para a página Minha Conta &gt; Encomendar por SKU será exibido no widget"
"Link Text","Texto do link"
"The text of the link to the My Account &gt; Order by SKU page","O texto do link para a página A Minha Conta &gt; Encomendar por SKU"
"Load a list of SKUs","Carregar uma lista de SKUs"
"Order by SKU Template","Ordenar por template de SKU"
"SKU not found in catalog.","SKU não foi encontrado no catálogo."
"This file needs to be in .csv format.","O ficheiro tem que estar no formato CSV."
"Please correct the data sent.","Por favor, corrija os dados enviados."
"Entity type model '%1' is not found","Não foi encontrado o modelo de entidade '%1'"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","O modelo do tipo de entidade deve ser uma instância de \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","Não existem tipos de produto disponíveis para exportação"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","A classe %1 não implementa \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Regra de Vendas"
"Index sales rule","Indexar regras de venda"
"Related Search Terms","Termos de Pesquisa Relacionados"
"Add New Search Term","Adicionar Novo Termo de Pesquisa"
"Missing search engine parameter.","Um parâmetro de motor de busca está em falta."
"Successful! Test again?","Bem sucedido! Testar novamente?"
"Connection failed! Test again?","A ligação falhou! Testar novamente?"
